ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
ID_0040R73,14/05/10,13/05/11,Male,30,14/05/10,1,Saloon,Black,TOYOTA,,,Car Classic,0
ID_0046BNK,29/11/10,28/11/11,Female,79,29/11/10,1,JEEP,Grey,TOYOTA,,,Car Classic,1
ID_005QMC3,21/03/10,20/03/11,Male,43,21/03/10,1,Saloon,Red,TOYOTA,,,Car Classic,0
ID_0079OHW,21/08/10,20/08/11,Male,2,21/08/10,1,,,,,,CarSafe,0
ID_00BRP63,29/08/10,31/12/10,Entity,20,29/08/10,3,,,,Lagos,Lagos,Muuve,1
ID_00D3EF6,21/10/10,20/10/11,Male,37,21/10/10,2,,,,,,Car Classic,0
ID_00HHZ8Y,02/08/10,01/08/11,Female,40,02/08/10,3,,,,Ikeja,Lagos,CVTP,0
ID_00M1X6U,12/09/10,11/09/11,Male,43,12/09/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_00N7XT1,06/07/10,05/07/11,Female,71,06/07/10,2,JEEP,Black,REXTON,Badagry,Benue,Car Classic,0
ID_00QF156,18/12/10,17/12/11,Female,58,18/12/10,1,,,,Eti-Osa,Eti-Osa,Car Classic,0
ID_00RDFUY,23/12/10,22/12/11,Female,43,23/12/10,1,,,,,,CarSafe,0
ID_00TMUS4,25/10/10,23/10/11,Male,45,25/10/10,1,JEEP,,Lexus,Victoria Island,Lagos,Car Plus,0
ID_00VRPZL,03/01/10,02/01/11,Male,51,03/01/10,1,Saloon,,TOYOTA,,,Car Classic,1
ID_00XG988,26/03/10,25/03/11,Female,120,26/03/10,2,,,TOYOTA,Ikoyi,Lagos,Car Classic,0
ID_019TN1T,10/09/10,09/09/11,Male,38,10/09/10,1,,,,Lagos Mainland,Lagos,Car Classic,0
ID_01A4DSV,19/11/10,05/11/11,Male,81,19/11/10,1,,As Attached,Hyundai,EFFURUN,Delta,Car Classic,0
ID_01BJS22,26/04/10,25/04/11,Female,69,26/04/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_01HTP5J,09/05/10,08/05/11,Female,31,09/05/10,1,Saloon,Black,TOYOTA,,,Car Classic,0
ID_01ITX31,28/06/10,27/06/11,Male,70,28/06/10,1,,,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0
ID_01P8CIZ,27/07/10,14/06/11,Male,20,27/07/10,1,,Blue,Iveco,Abeokuta,Ogun,CVTP,0
ID_01T1B6E,13/12/10,12/06/11,Entity,20,13/12/10,2,,,DAF,Lagos,Lagos,CVTP,0
ID_01Z1YOR,16/10/10,15/10/11,Male,30,16/10/10,1,,,,,,Car Classic,0
ID_01ZY7FF,07/08/10,06/08/11,Male,30,07/08/10,1,Saloon,Grey,TOYOTA,Ikeja,Lagos,Car Classic,1
ID_020608O,05/03/10,04/03/11,Male,34,05/03/10,1,Saloon,Blue,TOYOTA,,,Car Classic,0
ID_022U6TV,28/10/10,27/10/11,Male,40,28/10/10,2,Saloon,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Classic,0
ID_02390ZY,11/12/10,10/12/11,Male,1,11/12/10,1,,,,,,CarSafe,0
ID_02DJWEN,23/01/10,16/01/11,Male,41,23/01/10,1,Saloon,Silver,TOYOTA,Yaba,Benue,Car Classic,0
ID_02GM2IL,02/07/10,01/07/11,Male,31,02/07/10,1,Saloon,Grey,TOYOTA,,,Car Classic,0
ID_02NAGK1,01/03/10,01/03/11,Male,40,01/03/10,1,Saloon,,TOYOTA,,,CarSafe,0
ID_02O5FDM,10/02/10,09/02/11,Joint Gender,20,10/02/10,1,,As Attached,TOYOTA,Aguda,Benue,Car Classic,0
ID_02RCBEU,16/03/10,15/03/11,Male,47,16/03/10,2,Saloon,,TOYOTA,Surulere,Lagos,CarSafe,0
ID_02T5M8A,22/01/10,21/01/11,Female,40,22/01/10,1,,Grey,Mercedes,Lagos Mainland,Lagos,Car Classic,0
ID_02XA0UK,07/10/10,05/04/11,,34,07/10/10,1,,,,Victoria Island,Lagos,Car Classic,0
ID_034XN1U,02/07/10,01/07/11,,2,02/07/10,1,Motorcycle,Red,Jincheng,Victoria Island,Lagos,Motor Cycle,0
ID_035HSJO,21/06/10,19/06/11,Female,36,21/06/10,1,JEEP,,Mercedes,,,Car Plus,0
ID_03H676V,04/04/10,03/04/11,Male,37,04/04/10,1,Saloon,,Honda,,,CarSafe,0
ID_03HT5Q0,28/11/10,27/11/11,Male,46,28/11/10,1,,,,,,CarSafe,0
ID_03LHF6C,07/08/10,06/08/11,Male,48,07/08/10,1,,,,,,CarSafe,0
ID_03O8OI6,08/05/10,07/05/11,,120,08/05/10,2,JEEP,As Attached,TOYOTA,Victoria Island,Lagos,Car Classic,0
ID_03U3I31,06/09/10,05/09/11,Male,39,06/09/10,2,Saloon,Red,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0
ID_03UD6OT,09/11/10,08/11/11,Female,63,09/11/10,2,Saloon,,ACURA,Abuja Municipal,Abuja-Municipal,CarSafe,0
